382814146620059648;Wed Sep 25 10:29:39 +0000 2013;RT @Senator_Baloch: Balochistan #EarthQuake: Awaran's 95% houses are damaged - 1000+ deaths - Countless Injuries - No Medicines - No Relief…;EarthQuake, 
382814490053451776;Wed Sep 25 10:31:01 +0000 2013;RT @Oxfam: Pakistan #earthquake kills hundreds. 7.7 magnitude quake felt across #Pakistan &amp; India http://t.co/5QFMBI4olX;earthquake, Pakistan, 
382814158682877952;Wed Sep 25 10:29:42 +0000 2013;RT @RT_com: BREAKING UPDATE: Death toll from #Pakistan earthquake rises to over 230 http://t.co/fmytyHEJf4;Pakistan, 
382814523507621888;Wed Sep 25 10:31:09 +0000 2013;Defend #Christian, #Hindu, #Shia, #Ahmadi &amp; #atheist people against persecution in #Pakistan. London protest PHOTOS: http://t.co/octfH2yQMV;Christian, Hindu, Shia, Ahmadi, atheist, Pakistan, 
382814369425285120;Wed Sep 25 10:30:32 +0000 2013;#News China to execute parking-row toddler killer http://t.co/bXIx9Vgiwm #Pakistan;News, Pakistan, 
382813437513834497;Wed Sep 25 10:26:50 +0000 2013;RT @RizWarraich: A harsh analysis on #Afghan war &amp; its impact on regional security. #Pakistan http://t.co/7UfuLgxRSf @HDNER @halilbilecen @…;Afghan, Pakistan, 
382813620356534272;Wed Sep 25 10:27:34 +0000 2013;RT @farah_lodhi: Chairman #PTI @ImranKhanPTI at Lady Reading Hospital to inquire the health of #PeshawarChurchBlast Victims.
#Pakistan;PTI, PeshawarChurchBlast, Pakistan, 
382813848006180864;Wed Sep 25 10:28:28 +0000 2013;RT @UmarCheema1: This #EarthQuake has surprised like that of Oct. 2005. Nobody had assessed the scale of casualties in the begining.;EarthQuake, 
382814152969838592;Wed Sep 25 10:29:41 +0000 2013;Massive #earthquake in #Pakistan - At least 283 #killed and 400 #injured - many #updates + many #video's  - http://t.co/S56MFV2uSV;earthquake, Pakistan, killed, injured, updates, video, 
382814341247938562;Wed Sep 25 10:30:25 +0000 2013;RT @QasimalirazaAli: Three trucks relief good r ready to send earthquake affected areas of #Balochistan by #MQM &amp; #KKF today #ReliefByKKF;Balochistan, MQM, KKF, ReliefByKKF, 
382814489831555072;Wed Sep 25 10:31:01 +0000 2013;hell must be a place much like #NUST 
#Pakistan;NUST, Pakistan, 
382813873679896576;Wed Sep 25 10:28:34 +0000 2013;I just hope Malik Riaz doesn't buy the new Island :/
#Pakistan
#Gawadar;Pakistan, Gawadar, 
382813388503412736;Wed Sep 25 10:26:38 +0000 2013;RT @farah_lodhi: Chairman #PTI @ImranKhanPTI at Lady Reading Hospital to inquire the health of #PeshawarChurchBlast Victims.
#Pakistan;PTI, PeshawarChurchBlast, Pakistan, 
382813700375474176;Wed Sep 25 10:27:53 +0000 2013;Religious xtremists or liberal fascists?? There dnt cms to b a rational middle path in #pakistan for now !!!;pakistan, 
382813719941484544;Wed Sep 25 10:27:57 +0000 2013;RT @malicemagic: It takes an #Earthquake to get #Balochistan the attention it has screamed for. The baloch people have been left to fend fo…;Earthquake, Balochistan, 
382814060326043648;Wed Sep 25 10:29:18 +0000 2013;Roundtable on curricula reform starts @JinnahInstitute, Dr. A. H. Nayyar presenting on the Jinnah Inst report. #Pakistan;Pakistan, 
382813530396700672;Wed Sep 25 10:27:12 +0000 2013;RT @UNOCHA: #Pakistan earthquake: @UN &amp; humanitarian partners stand ready to support Gov’s ongoing relief effort if requested - http://t.co…;Pakistan, 
382813467528282112;Wed Sep 25 10:26:57 +0000 2013;RT @Oxfam: Pakistan #earthquake kills hundreds. 7.7 magnitude quake felt across #Pakistan &amp; India http://t.co/5QFMBI4olX;earthquake, Pakistan, 
382814257760321538;Wed Sep 25 10:30:06 +0000 2013;#Pakistan #Earthquake Toll Rises to 210;Pakistan, Earthquake, 
382814144824479746;Wed Sep 25 10:29:39 +0000 2013;Massive #earthquake in #Pakistan - At least 283 #killed and 400 #injured - many #updates + many #video's  - http://t.co/O4ByVZyAHx;earthquake, Pakistan, killed, injured, updates, video, 
