451187674385117185;Wed Apr 02 02:41:38 +0000 2014;RT @NWS_PTWC: #TSUNAMI WARNING continues for Chile and Peru, CANCELED everywhere else #PTWC http://t.co/k6m3jIh5Pj;TSUNAMI, PTWC, 
451187734736928768;Wed Apr 02 02:41:53 +0000 2014;Prayers that everybody stays safe in #Chile;Chile, 
451187618697736192;Wed Apr 02 02:41:25 +0000 2014;RT @weatherchannel: BREAKING: #Tsunami warning continues for Chile and Peru but is CANCELLED for all other countries. http://t.co/eFU0AxfsVR;Tsunami, 
451187710049652736;Wed Apr 02 02:41:47 +0000 2014;Earthquake  #Chile;Chile, 
451187725409218560;Wed Apr 02 02:41:51 +0000 2014;RT @weatherchannel: BREAKING: #Tsunami warning continues for Chile and Peru but is CANCELLED for all other countries. http://t.co/eFU0AxfsVR;Tsunami, 
451187660858462208;Wed Apr 02 02:41:35 +0000 2014;RT @weathernetwork: #Tsunami watches and warnings DROPPED for all areas except Chile and Peru.;Tsunami, 
451187671235584000;Wed Apr 02 02:41:38 +0000 2014;RT @scejas: #BREAKING: #Tsunami warning/watches cancelled for all areas except for #CHILE  and #PERU

Tsunami warning continues for CHILE a…;BREAKING, Tsunami, CHILE, PERU, 
451187646602047488;Wed Apr 02 02:41:32 +0000 2014;“@weatherchannel: BREAKING: #Tsunami warning continues for Chile and Peru but is CANCELLED for all other countries. http://t.co/TbH5bkCr12”;Tsunami, 
451187677992214528;Wed Apr 02 02:41:39 +0000 2014;RT @EmergencyInfoBC: UPDATE: NO #Tsunami threat for #BC following 8.2M earthquake off Chilean coast: http://t.co/Ni8t2TD92U c/o @NWS_NTWC;Tsunami, BC, 
451187710623899648;Wed Apr 02 02:41:47 +0000 2014;RT @elakdawalla: RT @wxbrad: #Tsunami energy and propagation map form the M 8.2 #Chile #earthquake http://t.co/iWYmyKNpXr http://t.co/hmJMP…;Tsunami, Chile, earthquake, 
451187669251280896;Wed Apr 02 02:41:37 +0000 2014;RT @EmergencyInfoBC: UPDATE: NO #Tsunami threat for #BC following 8.2M earthquake off Chilean coast: http://t.co/Ni8t2TD92U c/o @NWS_NTWC;Tsunami, BC, 
451187659709235200;Wed Apr 02 02:41:35 +0000 2014;RT @Cal_OES: NO #Tsunami Warning/Advisory Expected in Calif., But Would You Know What to Do? http://t.co/9MPqCq2Hya http://t.co/wVujn6SbQE;Tsunami, 
451187698309406720;Wed Apr 02 02:41:44 +0000 2014;RT @sarahmoga: Major earthquake in #chile an 8.0! This is crazy so many quakes!;chile, 
451187681817395200;Wed Apr 02 02:41:40 +0000 2014;RT @rosemaryCNN: 9 aftershocks reported in wake of mag. 8.2 quake that hit off #Chile's coast. Tsunami warnings &amp; watches in place along th…;Chile, 
451187637463031808;Wed Apr 02 02:41:30 +0000 2014;RT @YourAnonNews: 300 prisoners reportedly escaped during #earthquake in Iquique - @FranklinBlog #Chile;earthquake, Chile, 
